# English -> Spanish dictionary for LinguaSwap.
#
# Ordering is real corpus frequency, not a hand-guessed list: the English side
# is the top of the OpenSubtitles 2018 English frequency list
# (github.com/hermitdave/FrequencyWords), reduced to one entry per lemma using
# the extension's own lemmatizer, so "is", "are" and "was" arrive as a single
# "be" entry that every form on a page can reach.
#
# Also removed: contraction fragments left behind when apostrophes are stripped
# ("don", "didn"), transcription fillers ("uh", "hmm"), proper nouns, and six
# profanities that are genuinely frequent in subtitles but a surprising default
# to swap into someone's web pages.
#
# The file ends with a phrase section (Phase 3). Those entries are multi-word,
# and `token_count` is derived from them on import, which is what tells the
# extension how far to walk its n-gram pass.
#
# Their ranks are the one hand-placed thing in this file. The corpus list is
# unigrams, so it cannot say where "of course" belongs among single words; the
# ranks below are an estimate of where these phrases would fall if it could,
# and they are interleaved with the words rather than appended after them so a
# learner actually reaches a phrase before exhausting 494 single words. Replace
# them the day a bigram frequency list is wired into build_dictionary.py.
#
# Columns: original_word <TAB> target_translation <TAB> frequency_rank
# Import with: mix linguaswap.import_words priv/data/en-es.tsv
you	tú	1
i	yo	2
the	el	3
to	a	4
a	un	5
it	ello	6
and	y	7
that	que	8
of	de	9
be	ser	10
in	en	11
what	qué	12
we	nosotros	13
me	me	14
this	este	15
he	él	16
for	para	17
my	mi	18
on	sobre	19
have	tener	20
your	tu	21
do	hacer	22
no	no	23
not	no	24
know	saber	25
can	poder	26
with	con	27
but	pero	28
all	todo	29
so	así	30
just	solo	31
there	allí	32
here	aquí	33
they	ellos	34
like	como	35
get	obtener	36
she	ella	37
go	ir	38
if	si	39
right	correcto	40
out	fuera	41
about	acerca	42
up	arriba	43
at	en	44
him	lo	45
now	ahora	46
oh	oh	47
one	uno	48
come	venir	49
well	bien	50
her	su	51
how	cómo	52
yeah	sí	53
will	va	54
want	querer	55
think	pensar	56
as	como	57
see	ver	58
good	bueno	59
who	quién	60
why	por qué	61
from	desde	62
let	dejar	63
his	su	64
yes	sí	65
when	cuando	66
time	tiempo	67
an	un	68
okay	vale	69
back	atrás	70
look	mirar	71
us	nos	72
would	sería	73
them	ellos	74
where	dónde	75
take	tomar	76
then	entonces	77
or	o	78
our	nuestro	79
tell	contar	80
really	realmente	81
man	hombre	82
some	alguno	83
say	decir	84
hey	oye	85
could	podría	86
by	por	87
need	necesitar	88
something	algo	89
too	demasiado	90
more	más	91
way	manera	92
down	abajo	93
make	hacer	94
very	muy	95
never	nunca	96
only	únicamente	97
people	gente	98
over	encima	99
because	porque	100
little	pequeño	101
please	por favor	102
love	amor	103
should	debería	104
mean	significar	105
sorry	lo siento	106
give	dar	107
off	apagado	108
thank	agradecer	109
any	cualquier	110
two	dos	111
even	incluso	112
much	mucho	113
sure	seguro	114
thing	cosa	115
these	estos	116
help	ayudar	117
first	primero	118
into	hacia dentro	119
anything	cualquier cosa	120
still	todavía	121
find	encontrar	122
life	vida	123
nothing	nada	124
day	día	125
work	trabajo	126
their	su	127
again	otra vez	128
maybe	quizás	129
must	deber	130
before	antes	131
other	otro	132
wait	esperar	133
stop	parar	134
call	llamar	135
after	después	136
talk	hablar	137
away	lejos	138
than	que	139
home	hogar	140
