abad	abades	N;MASC;PL
abadía	abadías	N;FEM;PL
abandonar	abandona	V;IND;PRS;3;SG
abandonar	abandonaba	V;IND;PST;IPFV;3;SG
abandonar	abandonada	V;V.PTCP;PST;FEM;SG
abandonar	abandonadas	V;V.PTCP;PST;FEM;PL
abandonar	abandonado	V;V.PTCP;PST;MASC;SG
abandonar	abandonados	V;V.PTCP;PST;MASC;PL
abandonar	abandonando	V;V.CVB;PRS
abandonar	abandonará	V;IND;FUT;3;SG
abandonar	abandonándola	V;V.CVB;PRS;ACC;PRO;3;SG
abandonar	abandonándolas	V;V.CVB;PRS;ACC;PRO;3;PL
abandonar	abandonándole	V;V.CVB;PRS;DAT;PRO;3;SG
abandonar	abandonándoles	V;V.CVB;PRS;DAT;PRO;3;PL
abandonar	abandonándolo	V;V.CVB;PRS;ACC;PRO;3;SG
abandonar	abandonándolos	V;V.CVB;PRS;ACC;PRO;3;PL
abandonar	abandonándome	V;V.CVB;PRS;ACC;PRO;1;SG
abandonar	abandonándome	V;V.CVB;PRS;DAT;PRO;1;SG
abandonar	abandonándonos	V;V.CVB;PRS;ACC;PRO;1;PL
abandonar	abandonándonos	V;V.CVB;PRS;DAT;PRO;1;PL
abandonar	abandonándoos	V;V.CVB;PRS;ACC;PRO;2;PL
abandonar	abandonándoos	V;V.CVB;PRS;DAT;PRO;2;PL
abandonar	abandonándose	V;V.CVB;PRS;ACC;PRO;3;PL
abandonar	abandonándose	V;V.CVB;PRS;ACC;PRO;3;SG
abandonar	abandonándose	V;V.CVB;PRS;DAT;PRO;3;PL
abandonar	abandonándose	V;V.CVB;PRS;DAT;PRO;3;SG
abandonar	abandonándote	V;V.CVB;PRS;ACC;PRO;2;SG
abandonar	abandonándote	V;V.CVB;PRS;DAT;PRO;2;SG
abandonar	abandonó	V;IND;PST;PFV;3;SG
abandono	abandonos	N;MASC;PL
abanico	abanicos	N;MASC;PL
abarca	abarcas	N;FEM;PL
abastecimiento	abastecimientos	N;MASC;PL
abc	abcs	N;MASC;PL
